key,size,go_fn
447780535356671186,14,DNA binding
1016326209948277753,14,
1622127506322886218,14,
24465741157654625,14,
2238769263972757602,14,cell adhesion
1469496095594277503,14,cell adhesion
672836023079683707,14,
1643329532434825349,14,
2056860498146317824,13,DNA repair
1621934008827484234,13,DNA repair
778591041397479339,13,virus receptor activity
37698736068941215,13,DNA repair
556096317800193672,13,
1944172092338366620,13,
215810500306678059,13,
2275393471521948934,13,
1016810235259395671,13,
484105817791793704,13,cytoskeletal motor activity
433032487063627067,13,
836013898324801936,13,inflammatory response
476329902635562278,13,
2082580814850945033,13,
1417007070346466930,13,
1425888936232354656,13,inflammatory response
871090937721493534,13,GTPase activity
343133746539320173,13,
316352615453557050,13,
1778964457706743574,13,
43069116837890169,13,
193993175443255408,13,ligase activity
1227537253227322106,13,
1046155744688297670,13,cell adhesion
2098391422961084129,13,
1158416143508130923,12,
143188377126489644,12,inflammatory response
1604565064826206230,12,
2237942552255912074,12,
1988844945722790484,12,DNA binding
197861914646141983,12,RNA binding
1051834412622708469,12,
1657562998312407113,12,
1990671658563940017,12,DNA binding
54067649658048738,12,
55723428091849708,12,
1411437319802354890,12,
1864488401417248754,12,
781354196124663914,12,
1639318283998054036,12,inflammatory response
289091895940675915,12,
164801429985629802,12,
945805257876521111,11,DNA repair
305962344520972026,11,cytoskeletal motor activity
1831278467383135083,11,
391453187228781908,11,
1802358189320825928,11,histone binding
1175910809106154814,11,inflammatory response
448818498412269856,11,
926133645269443096,11,
1932059687453352171,11,
562930039466758120,11,
1737991508955189935,11,
566311631857452963,11,
2088291631757434537,11,
1548251568332074491,11,
1110209831573404246,11,
376317874701775811,11,
713222888939370977,11,inflammatory response
1078717611144919216,11,
887955291315668746,11,inflammatory response
220988554133440358,11,
1460826989647166384,11,
590461995825358842,11,
1405823298325286322,10,DNA repair
616787765835036902,10,DNA repair
102505984207324205,10,cell adhesion
1876173920019359923,10,
566530757671755756,10,
772504040647773919,10,
1200867522812368728,10,GTPase activity
588925559310813423,10,
2075592453785208932,10,GTPase activity
1745495180543765083,10,inflammatory response
992892238680601908,10,
1455880075760360480,10,lipid binding
745956715061948236,10,inflammatory response
1260873443102023234,10,
2148033965243346804,10,
1160201653989965405,10,GTPase activity
1867767455908954404,10,inflammatory response
1696841821429930371,10,virus receptor activity
679041730770399825,10,
1389993235758745619,10,
1538207546516367079,10,DNA binding
468122003580756010,10,
12316789959822990,10,
1804359022527332043,10,cell adhesion
1819746779292825077,10,
702977095092430703,10,
697237115437100138,10,
85727044848868663,10,virus receptor activity
1764980808704217387,10,
1263957220906676407,9,
1497769315810668593,9,
1828639296688934831,9,DNA repair
134403547035686918,9,DNA repair
1637385569660302760,9,
171815908453612204,9,
59466016139217080,9,
1652837342658745471,9,
614045409593936090,9,
1105105665744293673,9,protein tag activity
1070373929147907308,9,
747565357629105561,9,respiratory system process
632124668567472671,9,
1001638726306524625,9,
2071998610782756480,9,
61311746049691407,9,
1627809136410315370,9,
649442770886974074,9,
726173207690241535,9,
1807743945870499766,9,
2008688195866189557,9,
562465945266542714,9,molecular adaptor activity
1380584266101137521,9,
1074798672257464231,9,lipid binding
516758877100192970,9,
1420822593795258008,9,histone binding
505126564031571973,9,virus receptor activity
726235620410303745,9,
997390389847050655,9,GTPase activity
1167183607400953124,9,
1991923758120589804,9,
1238369304095892761,9,virus receptor activity
2095639606605789155,9,
1157881238148379226,9,
2254992086548423001,8,
1460312357775431503,8,protein tag activity
764993748459196022,8,
1021894931206211491,8,
1454193746152606219,8,
1453222388104485627,8,
2076945032516882770,8,
741447524711479347,8,GTPase activity
525556102075726471,8,
1678848524490066478,8,GTPase activity
2013739094588343515,8,
1496739458121014998,8,
924210219956090551,8,
1098983584579600289,8,
1694367729674075910,8,
2133739094773056321,8,cell adhesion
52152245418940105,8,
238376858776865878,8,
2058832571092358866,8,
1618197652450879592,8,
386444737270295453,7,GTPase activity
2273069765450942296,7,GTPase activity
901623537285539109,7,inflammatory response
750365913940360108,7,
1279065236611023978,7,
2096347915761965343,7,
738853611553152984,7,
587397269782499679,7,
71958865788281664,7,
956424642620111242,7,
938334436481580626,7,
118734516120124357,7,cytoskeletal motor activity
343306018349153478,7,respiratory system process
1201154562585377459,7,
679368277660992728,7,
2220410983898000008,7,GTPase activity
1363118208746839162,7,
364304604371042621,7,
784652907101987986,7,
973834486829421478,7,
56415517125665969,7,
720185767314701935,7,
1417245899051778281,7,
2166480263025059154,7,
1593688660500505054,7,
919267971394887036,7,
981363875454307146,7,
1509384203226802127,7,
1001337285338368702,7,
946469020538721893,7,
1067886677771318013,7,virus receptor activity
1541425810217753015,7,
345051549785174092,6,
1443212247199083740,6,
1243069433585592979,6,
67162367142536626,6,
2219629305000327152,6,
203798170563224992,6,
1810013950775049336,6,
418106586369080986,6,
162653032050174409,6,
1154428504703051511,6,inflammatory response
2156965926792858259,6,
727136048290271327,6,
1152333328707315185,6,
534015872227335082,6,
1084133555757787651,6,
475280858921665672,6,
607180590054666625,6,
536114951732025999,6,
143237094744617498,6,
1623204165351810011,6,
1641846988287198554,6,
2058623880136483042,6,
50803118481119783,6,GTPase activity
2154085205887033593,6,
961225402949535183,6,
1154249283047733715,6,molecular adaptor activity
1145548085420797602,6,
1980353494124054762,6,
34039946061866341,6,
1623494925368406303,6,
598773308763404493,6,DNA binding
1316006638006343767,6,
514245561759512031,6,
1456258058630150777,5,
1336009990408351162,5,
576822774200611005,5,
1311122000951597329,5,
441328644240052657,5,
821106478740484952,5,
1546187517969467987,5,cytoskeletal motor activity
950134413264213679,5,
1828978175611032461,5,
831147252714132541,5,protein tag activity
872862128197679830,5,
57968931796736467,5,
248281591570131617,5,
1760527730169810324,5,
1968973952824002403,5,
1044050548257260161,5,
138449324908821701,5,
1111459696484902422,5,
1976245871248755409,5,
1808619333806356944,5,
610644989543480955,4,DNA repair
1705016108903901499,4,
726120641272460824,4,
1308047235608343840,4,DNA repair
1172183017993561316,4,
554189509904254444,4,
1487086561043649738,4,
1834260204627341488,4,
355800263743809600,4,
787283532127374678,4,
694126682698712990,4,
446695498653207554,4,
1827324652899447764,4,
2272492597231969173,4,
88747224899781644,4,
2178799432638749092,4,
1883003700511436070,4,
1031529963744099303,4,
1328998556085652176,4,
824719487168368812,4,
867510200719750452,4,
1016446847275895194,4,
1564728954283210707,4,
1711764726482370994,4,
723132509307413945,3,DNA repair
411797304352938379,3,
2193681999284469878,3,
1868757305936739968,3,
351383025400686933,3,
435416448249648028,3,
969183092647515912,3,
1179880196694417458,3,
1710638723356368336,3,
931089069804828643,3,
2242674771103822481,3,
1135801901646050523,3,
1498143238953243663,3,
1302045057500240409,3,
472502786279377464,3,
952667375041264518,3,
2015999915031878425,3,
2302863867041383305,3,virus receptor activity
305687777941844776,3,
2009745294675432931,3,
